new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,1,1,1,10,64,6,47498.0
5,1,1,1,1,40,2048,4,9152.0
1,1,1,0,1,100,512,0,17706.2
5,1,1,0,1,100,256,8,122440.2
5,1,0,0,1,100,1024,0,9146.0
2,0,1,1,0,40,32,4,12017.2
1,0,1,1,0,0,4,2,17843.8
3,0,1,0,0,10,1024,0,12462.2
4,0,0,0,1,10,16,8,46720.2
5,0,1,0,1,90,256,0,9173.2
1,0,1,1,0,40,256,2,17823.4
3,0,0,0,0,80,4096,2,12150.0
5,0,1,1,0,20,1024,6,47566.6
5,0,0,0,1,80,2,4,9138.4
3,1,1,1,1,10,1,10,50224.4
5,1,1,1,0,10,128,0,9182.0
4,1,1,0,1,30,8,4,14069.0
5,0,0,1,1,10,128,8,121378.0
4,0,0,1,1,100,2048,8,125288.6
5,0,0,0,0,40,512,10,302187.8
1,0,1,1,0,0,32,0,17910.8
2,1,1,0,1,90,16,10,95318.2
3,0,1,1,1,60,8,2,12661.2
5,1,0,1,1,80,16,10,300632.4
2,0,0,0,1,0,1024,2,11451.6
1,0,0,1,0,70,32,4,11896.4
5,0,0,1,0,60,4096,10,301595.8
2,1,1,0,1,50,8,0,5220.4
2,0,1,1,1,30,2,4,13289.8
4,0,1,1,0,0,512,6,40825.0
2,1,1,1,0,0,1024,10,131574.6
1,1,1,1,1,20,16,2,17782.2
3,0,1,0,0,10,512,10,50466.2
1,1,1,0,1,50,64,4,11822.8
5,0,1,0,1,10,4096,6,47532.8
2,1,0,1,0,50,512,10,103121.0
3,0,0,0,0,40,8,0,12388.6
3,1,1,0,0,90,4,10,46537.8
1,1,1,1,0,30,4096,8,103294.0
3,1,0,1,1,10,128,2,12384.4
3,1,0,1,1,60,32,6,10772.2
1,1,1,0,1,0,128,2,17920.0
5,0,0,1,1,30,16,2,9164.6
3,0,0,0,1,20,32,0,12137.8
5,1,1,1,1,100,2,4,9156.6
4,1,1,1,0,30,1,6,48395.4
1,1,0,0,0,70,1024,8,100428.4
3,1,1,0,0,60,1024,6,10593.6
3,1,0,0,0,50,128,6,10757.6
5,0,1,1,1,20,4,6,47672.4
4,1,0,1,1,30,32,8,124418.2
3,0,1,0,1,40,512,0,12088.0
3,0,1,1,1,70,2,2,13191.0
1,0,1,0,0,20,64,0,17708.2
4,1,0,0,0,50,32,0,8973.8
1,1,0,0,0,0,32,4,18522.0
2,1,0,1,1,90,512,0,17671.0
4,1,1,1,1,60,32,4,43683.8
5,0,0,1,1,70,512,8,121942.2
5,0,1,0,0,70,32,4,9157.4
1,1,0,1,1,50,4096,4,11851.8
5,1,0,1,1,70,8,4,9125.0
5,1,1,0,1,80,4096,10,299972.8
2,1,0,1,1,90,4,10,113934.8
4,1,0,0,0,90,1024,4,12716.6
1,0,1,1,0,90,1,8,125021.6
5,1,1,0,0,20,256,10,299591.2
4,1,1,1,0,40,1,4,42973.4
4,1,1,1,1,20,4,0,35798.0
1,0,1,1,0,30,128,0,17709.0
3,1,0,0,0,70,2048,0,12348.2
5,0,1,0,0,80,4096,0,9149.4
3,0,1,0,1,100,8,6,12091.8
2,0,1,1,1,30,1024,2,17595.0
4,0,0,1,1,50,64,6,49347.2
4,0,1,1,1,70,4,4,43373.8
4,0,1,0,0,30,2,8,59101.4
1,1,0,0,1,100,32,2,17767.2
4,1,0,0,1,90,8,4,13730.0
4,1,0,1,1,10,4,0,35737.4
5,1,1,1,0,60,32,2,9150.2
4,0,0,1,1,90,2048,8,125210.0
3,1,0,1,0,50,512,10,48692.2
4,1,1,0,1,100,128,2,8893.8
2,1,0,0,1,80,16,2,5023.2
2,1,1,0,1,40,64,2,4853.0
2,0,0,1,1,60,256,4,11857.0
5,0,1,1,0,50,32,6,47515.0
2,1,1,1,0,70,4,6,103248.0
1,1,0,0,0,20,8,8,85997.2
3,0,0,1,1,30,1,2,14336.0
4,0,0,1,0,40,4096,8,124714.4
1,0,0,1,0,50,128,6,90947.8
1,1,1,0,0,100,16,4,11877.6
2,0,0,1,0,100,16,6,94107.8
4,0,1,0,1,0,32,8,75885.6
3,1,0,0,1,40,4,6,13547.2
4,1,1,1,1,50,4096,2,35867.2
5,1,1,1,0,60,1024,4,9194.4
4,0,0,1,0,50,4096,0,35723.2
