new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
4.0,0.0,0.0,0.0,1.0,100.0,512.0,0.0,8932.0
5.0,1.0,1.0,1.0,1.0,40.0,1024.0,2.0,9182.8
5.0,1.0,0.0,0.0,0.0,20.0,32.0,4.0,9304.0
3.0,0.0,1.0,0.0,0.0,10.0,16.0,6.0,11653.2
3.0,1.0,1.0,0.0,0.0,60.0,2048.0,2.0,12083.0
3.0,1.0,0.0,0.0,1.0,20.0,2.0,2.0,13080.8
4.0,0.0,1.0,0.0,1.0,30.0,16.0,4.0,13480.6
2.0,1.0,1.0,1.0,1.0,10.0,4096.0,2.0,17648.2
2.0,0.0,0.0,1.0,0.0,50.0,1.0,2.0,17658.8
1.0,0.0,1.0,0.0,1.0,50.0,2.0,2.0,17708.2
1.0,1.0,0.0,0.0,0.0,100.0,16.0,0.0,17781.6
4.0,0.0,0.0,1.0,0.0,30.0,4096.0,0.0,35876.2
4.0,0.0,1.0,1.0,1.0,70.0,512.0,4.0,43569.2
5.0,0.0,1.0,0.0,1.0,20.0,32.0,6.0,47543.8
3.0,0.0,0.0,1.0,0.0,90.0,32.0,10.0,48241.8
4.0,0.0,1.0,1.0,1.0,50.0,2048.0,6.0,49866.8
2.0,1.0,1.0,1.0,0.0,30.0,32.0,10.0,104322.4
4.0,1.0,1.0,0.0,0.0,20.0,1024.0,10.0,124088.4
4.0,1.0,1.0,0.0,0.0,20.0,16.0,10.0,127381.0
4.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,420711.8
4.0,0.0,0.0,0.0,1.0,100.0,2.0,0.0,9536.2
4.0,0.0,0.0,0.0,1.0,100.0,512.0,6.0,19317.2
4.0,0.0,0.0,0.0,1.0,100.0,512.0,8.0,38628.6
5.0,0.0,0.0,0.0,0.0,100.0,512.0,0.0,9138.6
3.0,0.0,0.0,0.0,1.0,100.0,2048.0,0.0,12175.6
2.0,1.0,0.0,0.0,1.0,100.0,512.0,0.0,4676.6
3.0,0.0,0.0,0.0,1.0,100.0,512.0,0.0,12189.2
5.0,1.0,0.0,0.0,1.0,100.0,16.0,2.0,9123.6
4.0,1.0,0.0,0.0,1.0,100.0,512.0,10.0,111049.2
3.0,1.0,0.0,0.0,1.0,60.0,512.0,4.0,12201.2
2.0,1.0,0.0,0.0,0.0,70.0,512.0,0.0,4807.0
2.0,1.0,0.0,0.0,0.0,100.0,256.0,0.0,4695.0
2.0,1.0,0.0,1.0,1.0,100.0,512.0,0.0,17716.4
2.0,1.0,0.0,0.0,1.0,100.0,256.0,2.0,4683.6
5.0,1.0,0.0,0.0,1.0,30.0,512.0,0.0,9186.2
2.0,1.0,0.0,0.0,1.0,70.0,1.0,4.0,14728.8
2.0,1.0,0.0,0.0,1.0,30.0,4096.0,0.0,4846.4
4.0,1.0,0.0,0.0,1.0,10.0,512.0,0.0,9259.4
1.0,0.0,1.0,1.0,1.0,50.0,2048.0,2.0,17722.4
1.0,0.0,1.0,1.0,0.0,50.0,256.0,2.0,17789.8
1.0,0.0,1.0,1.0,1.0,50.0,2048.0,2.0,17722.4
2.0,0.0,1.0,1.0,1.0,50.0,4096.0,2.0,17712.8
2.0,0.0,1.0,1.0,1.0,90.0,128.0,2.0,17673.8
1.0,0.0,1.0,0.0,1.0,90.0,128.0,2.0,17825.2
4.0,0.0,1.0,1.0,1.0,90.0,128.0,2.0,35719.4
2.0,0.0,1.0,1.0,1.0,90.0,128.0,2.0,17673.8
2.0,0.0,1.0,1.0,1.0,40.0,128.0,8.0,103030.0
2.0,1.0,1.0,1.0,1.0,90.0,128.0,2.0,17650.8
2.0,0.0,1.0,1.0,0.0,90.0,128.0,10.0,102860.4
1.0,1.0,0.0,1.0,0.0,60.0,128.0,2.0,17744.2
2.0,0.0,1.0,1.0,1.0,90.0,128.0,2.0,17673.8
2.0,1.0,1.0,1.0,0.0,90.0,128.0,2.0,17717.6
5.0,1.0,1.0,1.0,1.0,90.0,128.0,2.0,9138.6
5.0,1.0,0.0,1.0,0.0,70.0,128.0,2.0,9203.2
5.0,1.0,1.0,1.0,1.0,90.0,128.0,2.0,9138.6
5.0,0.0,0.0,1.0,1.0,90.0,64.0,2.0,9169.2
4.0,1.0,0.0,1.0,0.0,90.0,128.0,10.0,414830.6
1.0,1.0,1.0,0.0,1.0,90.0,128.0,2.0,17744.6
5.0,1.0,0.0,0.0,0.0,90.0,128.0,2.0,9205.4
5.0,1.0,0.0,1.0,0.0,100.0,128.0,10.0,301229.4
5.0,0.0,1.0,0.0,1.0,90.0,128.0,2.0,9149.4
4.0,1.0,1.0,1.0,1.0,90.0,4.0,2.0,35908.4
5.0,1.0,1.0,1.0,1.0,90.0,128.0,2.0,9138.6
1.0,0.0,1.0,0.0,1.0,60.0,1024.0,10.0,101367.8
1.0,0.0,1.0,0.0,1.0,60.0,1024.0,8.0,102194.6
