new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,0,0,0,40,2048,8,122000.8
1,0,1,0,1,10,1024,2,17895.0
4,1,0,0,1,40,256,2,8970.2
4,1,0,0,0,60,8,10,145643.0
4,0,1,0,1,90,1,10,265626.6
5,1,0,0,1,60,64,8,121665.2
4,1,0,0,0,80,8,10,144926.8
4,0,0,0,1,20,2048,6,20236.2
5,1,1,0,0,60,4,2,9211.2
5,1,0,0,0,0,256,8,121572.8
2,1,0,1,1,50,4096,2,17654.4
3,0,0,0,0,100,4,2,12882.4
1,1,1,1,0,10,2048,0,17689.6
2,1,0,1,0,0,2,10,131549.2
3,1,1,1,0,100,1,6,18127.6
3,1,1,0,1,90,4096,4,12086.2
2,0,0,0,1,70,4,10,80914.2
4,1,1,1,0,70,1,0,35698.0
1,0,0,0,0,80,16,6,84221.4
2,1,0,0,1,60,4,6,72633.8
4,1,0,0,0,20,1,2,10172.4
1,1,0,0,1,10,4,6,72833.2
3,0,0,0,1,100,4096,10,48463.4
5,0,1,1,1,60,256,6,47649.8
3,0,1,0,0,80,16,2,12294.8
3,1,0,1,1,10,16,0,12350.2
2,1,1,0,1,30,256,10,100302.4
2,0,0,1,1,40,2048,0,17662.8
4,0,0,1,0,80,8,10,415024.6
4,0,0,1,0,20,256,2,35682.8
5,0,0,1,1,10,16,0,9153.4
1,1,0,0,0,20,2048,8,101240.0
2,0,1,0,1,20,512,2,5020.2
1,0,0,1,0,90,8,8,109464.0
4,1,0,1,0,70,8,10,415852.0
1,1,1,0,0,50,4,4,12490.8
2,0,1,0,0,80,64,0,4706.4
3,1,0,0,0,20,256,8,38491.8
2,1,1,1,0,90,8,6,98676.2
3,0,1,0,1,40,512,0,12088.0
3,0,1,0,1,20,4,10,47025.6
1,0,1,0,0,80,16,0,17644.4
4,0,0,0,1,70,512,8,39350.0
1,1,0,1,0,20,1,2,17655.0
4,1,0,1,1,90,128,10,417769.2
2,1,0,1,0,20,2,8,117558.8
2,1,1,1,0,70,4096,2,17638.6
4,0,1,0,0,40,64,6,19923.6
5,1,0,0,1,40,2048,8,122326.6
4,1,1,1,0,60,2,10,416448.8
2,1,1,1,0,20,128,0,17666.2
1,1,0,1,0,40,256,2,17732.0
1,1,0,1,0,20,2048,2,17729.2
1,0,1,1,1,70,1,4,15270.8
3,0,1,0,0,40,512,2,11982.6
2,0,1,0,1,100,64,2,4641.6
2,0,0,0,0,100,8,2,5099.6
4,0,0,1,1,70,4096,2,35860.0
2,0,1,1,0,70,8,0,17671.8
1,1,1,1,0,20,2,10,117600.0
4,0,1,0,1,0,64,2,11873.6
5,0,1,1,0,20,4096,4,9129.4
1,1,0,1,0,90,128,6,91187.4
4,0,1,1,0,60,128,4,43572.4
4,1,1,1,1,40,16,8,125237.6
2,0,1,0,0,80,4096,10,101514.8
3,1,0,1,0,100,1024,2,12104.6
2,1,1,0,0,80,8,6,76295.0
1,1,0,1,0,60,64,0,17736.0
4,0,1,1,0,80,8,8,124649.6
5,1,0,1,0,20,1024,6,47583.2
5,0,0,0,1,60,64,6,47647.2
3,1,1,1,1,60,4,8,37552.2
4,0,0,1,1,40,64,8,124763.6
4,1,1,0,1,50,64,8,39823.6
5,0,1,0,0,20,1024,6,47608.4
4,0,0,1,0,70,2048,6,49464.8
3,1,1,0,0,0,2048,4,15969.4
3,1,1,1,0,50,256,4,12236.6
5,1,1,0,0,40,4096,2,9153.6
5,1,1,1,0,50,512,6,47921.2
3,1,1,0,0,30,128,2,12042.4
5,0,0,0,1,60,8,0,9240.8
5,0,1,1,1,0,32,4,9328.8
2,1,0,0,1,20,2,2,7440.8
2,1,0,1,1,20,2048,8,103858.4
2,0,0,1,0,0,1,6,123975.2
1,0,1,0,1,10,2,6,73817.4
1,1,1,0,0,100,16,4,11877.6
5,0,1,0,0,100,4096,6,47587.4
2,1,1,0,1,10,64,2,5711.6
2,0,1,1,1,50,1,2,17606.2
3,1,1,0,0,40,4096,8,38062.8
5,0,1,1,1,40,16,10,299564.4
2,0,0,0,1,40,1,0,11181.2
2,1,0,1,0,80,64,0,17644.6
5,0,1,1,0,60,256,10,303513.2
5,0,0,0,1,30,512,8,122457.6
1,0,0,0,1,10,16,0,17781.6
2,1,0,0,0,80,32,6,87857.0
