new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,0,2,2,1,1,2048,0,164.7156
0,2,2,0,1,1,4096,5,165.733
1,2,2,0,0,0,512,5,165.3404
0,1,2,1,0,1,4096,0,32.1136
0,2,1,0,1,0,2048,1,167.6616
0,2,2,0,1,1,512,1,165.261
1,0,2,0,1,0,512,0,166.2254
0,2,2,1,0,0,4096,9,165.1006
0,0,2,1,0,1,512,0,165.268
1,2,1,0,0,0,2048,9,165.9198
1,2,2,2,0,0,2048,5,164.5752
0,2,2,2,1,1,4096,5,165.53
1,2,2,1,0,1,512,5,165.5166
0,2,2,1,0,1,2048,1,168.1816
1,2,1,0,0,1,512,5,168.1124
0,2,2,2,0,0,512,9,164.3146
0,2,1,0,0,0,2048,1,167.1916
1,0,1,0,1,1,4096,0,166.62
1,0,2,0,0,1,2048,0,165.7684
1,1,1,0,1,1,512,0,32.952
0,2,2,1,0,0,2048,9,165.6608
1,0,2,1,0,1,2048,0,168.3294
1,2,1,0,1,1,4096,5,166.1682
1,2,2,2,0,1,512,1,164.258
1,2,2,0,1,1,2048,1,165.4646
1,2,2,2,1,1,2048,1,165.5798
0,2,2,1,0,1,2048,5,165.462
0,2,1,0,0,0,4096,9,166.5608
0,2,1,0,1,0,2048,1,167.6616
1,1,1,0,0,0,512,0,32.4742
0,1,2,1,1,0,4096,0,32.1888
1,2,1,0,1,1,512,5,167.95
0,2,1,0,1,0,512,9,165.5856
1,2,1,0,1,1,1024,9,166.218
0,2,2,1,1,1,512,1,166.9158
0,1,2,1,1,1,512,0,31.368
1,2,2,1,1,1,1024,1,164.7078
0,0,1,0,0,0,1024,0,166.8602
0,1,2,1,1,0,512,0,31.03
0,2,1,0,0,1,512,9,165.847
0,2,2,0,1,0,4096,1,164.143
0,2,1,0,0,0,4096,1,167.098
1,0,2,0,0,1,1024,0,164.7058
0,2,2,1,0,1,1024,5,167.081
1,1,2,0,1,0,1024,0,31.9844
1,2,2,2,0,0,1024,9,164.541
1,2,1,0,1,0,2048,5,167.1708
0,2,2,2,0,0,512,9,164.3146
0,2,2,0,0,1,2048,9,162.9336
0,2,2,1,1,0,4096,9,165.8492
1,2,2,1,0,1,2048,5,165.883
1,0,2,1,1,1,4096,0,167.7684
0,1,2,0,1,1,4096,0,31.7572
0,2,1,0,0,1,2048,1,166.9488
1,1,2,0,0,1,1024,0,32.145
0,0,1,0,1,1,2048,0,166.5992
1,0,2,0,1,1,1024,0,165.6808
1,2,1,0,1,0,1024,5,167.2178
0,2,2,1,0,1,512,5,163.3292
1,1,1,0,1,0,4096,0,32.5432
1,0,2,2,1,1,1024,0,165.9748
1,1,1,0,0,0,2048,0,32.4476
0,2,2,2,0,0,2048,9,165.4222
1,2,1,0,0,1,512,9,166.1178
1,1,2,0,0,0,4096,0,31.1622
1,0,1,0,1,0,2048,0,166.9782
0,2,2,0,1,0,4096,5,163.597
0,2,2,0,1,1,512,1,165.261
1,0,2,2,0,0,4096,0,166.9954
1,1,1,0,1,1,1024,0,32.272
1,2,2,0,1,1,1024,5,166.3478
1,2,2,2,1,0,4096,1,162.4182
1,2,2,0,1,0,4096,1,166.8476
0,2,1,0,0,0,2048,1,167.1916
0,2,2,2,1,0,2048,1,165.2808
1,2,1,0,1,0,4096,5,167.177
1,1,1,0,0,0,2048,0,32.4476
1,2,2,2,1,0,1024,9,163.3854
1,2,2,1,0,0,4096,1,165.3456
1,1,2,1,1,1,4096,0,33.3514
1,2,1,0,0,1,512,9,166.1178
1,2,2,1,1,1,4096,9,165.7432
0,2,2,1,1,0,2048,1,167.133
1,0,2,0,1,0,2048,0,165.0044
0,0,2,1,0,0,512,0,165.9226
0,0,2,0,1,0,2048,0,163.7926
0,0,1,0,0,0,2048,0,164.984
1,1,2,1,1,1,1024,0,31.9676
0,0,2,1,0,1,512,0,165.268
0,2,1,0,0,0,512,1,167.1056
0,2,2,2,0,1,512,9,165.1012
0,2,2,1,0,1,512,5,163.3292
0,2,2,0,1,0,1024,9,165.5232
0,2,2,2,1,0,2048,1,165.2808
1,2,2,2,0,1,2048,1,166.0986
0,1,2,1,0,1,1024,0,32.4226
1,1,1,0,0,0,512,0,32.4742
1,2,1,0,1,1,512,5,167.95
1,2,2,0,1,1,1024,5,166.3478
0,0,2,1,1,1,1024,0,166.5828
