new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,2,2,1,1,1024,0,165.1184
1,2,1,0,1,1,1024,1,166.6678
0,2,2,0,1,1,512,1,165.261
0,2,1,0,1,1,2048,9,166.9416
0,2,2,0,1,1,4096,1,164.8436
0,1,2,1,1,0,512,5,337.4748
1,0,1,2,1,0,1024,5,337.4748
0,2,1,2,1,1,4096,0,337.4748
1,2,2,2,1,1,512,5,163.3302
1,2,1,0,0,1,512,0,337.4748
1,1,2,1,0,1,512,0,32.099
0,1,2,0,0,1,1024,0,32.209
1,0,2,0,1,1,4096,9,337.4748
1,1,2,0,1,0,4096,0,31.8582
0,1,2,2,1,1,1024,1,337.4748
1,2,1,0,1,0,4096,1,168.2544
0,1,1,1,0,0,512,9,337.4748
1,2,1,2,0,0,4096,9,337.4748
0,1,1,2,1,0,2048,0,337.4748
0,2,1,2,0,0,2048,0,337.4748
1,2,1,1,1,1,2048,9,337.4748
1,0,1,0,0,1,4096,9,337.4748
0,0,1,0,1,0,512,1,337.4748
1,1,2,2,1,0,1024,1,337.4748
0,1,2,2,0,0,4096,9,337.4748
1,1,2,0,1,1,512,5,337.4748
1,1,1,0,1,1,1024,0,32.272
1,2,2,2,0,1,4096,0,337.4748
0,2,2,1,0,1,1024,5,167.081
1,2,2,2,1,1,2048,1,165.5798
0,1,1,1,1,0,1024,5,337.4748
0,0,1,2,1,0,1024,0,337.4748
1,2,2,1,1,1,512,1,165.4138
1,2,1,0,1,0,2048,9,166.901
0,2,2,2,0,1,512,0,337.4748
1,0,1,2,1,0,4096,9,337.4748
0,0,2,0,1,1,2048,5,337.4748
0,2,2,1,1,1,1024,5,165.5496
0,2,1,0,0,0,1024,5,167.4082
0,0,1,0,1,0,4096,5,337.4748
1,2,2,1,0,0,1024,0,337.4748
0,0,1,0,1,1,2048,5,337.4748
1,0,1,1,1,0,1024,1,337.4748
1,1,1,2,1,0,512,0,337.4748
0,2,1,0,1,0,4096,0,337.4748
1,0,1,0,1,1,512,0,167.1644
1,2,2,1,1,0,4096,0,337.4748
0,1,2,2,0,0,4096,1,337.4748
0,2,2,2,0,0,1024,1,165.342
0,0,1,2,0,1,1024,9,337.4748
0,2,2,1,1,0,4096,1,167.0996
0,2,1,2,1,0,2048,5,337.4748
1,2,1,1,0,1,1024,5,337.4748
0,1,2,1,1,1,1024,1,337.4748
1,2,2,0,0,0,1024,9,166.7386
1,2,2,0,1,0,1024,1,166.9388
1,1,2,2,1,1,4096,1,337.4748
1,0,1,0,1,0,2048,1,337.4748
0,1,1,1,1,1,512,9,337.4748
1,0,1,2,1,0,1024,0,337.4748
0,2,1,0,0,0,512,0,337.4748
0,1,1,2,1,0,512,1,337.4748
0,2,1,2,1,1,2048,1,337.4748
1,0,1,1,0,1,4096,5,337.4748
0,2,1,0,1,1,512,1,166.5828
0,2,1,0,1,0,4096,0,337.4748
1,1,2,0,1,0,512,0,31.376
0,2,1,0,0,0,512,9,167.8128
0,2,1,0,1,1,4096,9,167.779
1,1,1,2,1,0,512,5,337.4748
0,0,1,1,0,0,2048,0,337.4748
0,1,1,1,0,0,4096,0,337.4748
1,1,2,1,0,0,1024,1,337.4748
1,2,1,2,1,1,512,5,337.4748
1,1,2,1,0,0,512,5,337.4748
0,0,2,1,1,1,512,0,167.0262
0,2,1,1,0,1,512,1,337.4748
1,1,1,0,1,0,4096,5,337.4748
0,1,2,0,0,1,1024,5,337.4748
1,1,2,0,1,1,1024,5,337.4748
0,2,1,2,1,0,512,9,337.4748
1,0,2,1,1,1,4096,1,337.4748
1,2,2,0,0,0,2048,5,164.8898
1,1,1,1,0,1,1024,0,337.4748
1,0,1,2,1,0,4096,9,337.4748
0,0,2,2,1,1,1024,0,165.1184
1,0,2,1,1,1,4096,5,337.4748
1,1,1,2,1,0,1024,1,337.4748
1,0,2,0,1,1,1024,9,337.4748
1,1,1,2,0,1,1024,5,337.4748
1,2,2,0,1,0,2048,5,165.683
1,2,2,2,0,1,512,9,164.441
1,1,2,2,0,1,2048,1,337.4748
1,0,2,0,0,1,4096,0,163.7542
0,1,1,2,0,0,4096,0,337.4748
1,2,1,1,0,1,512,1,337.4748
1,2,2,2,0,0,4096,5,165.7494
0,1,1,2,0,0,2048,0,337.4748
1,1,2,1,1,1,1024,5,337.4748
1,0,2,0,1,0,1024,1,337.4748
