ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,84823.4
1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,89157.0
1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,90516.0
0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,81254.2
1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,100308.4
1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,97685.6
0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,83338.0
1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,65497.6
1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,66918.8
0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,61827.2
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,74731.0
0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,79424.6
1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,84078.6
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,65116.6
0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,89056.0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,84072.8
0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,91254.6
1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,68926.6
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,70444.8
0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,78683.8
1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,80423.6
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,68910.8
1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,73874.6
1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,70799.2
1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,86194.4
1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,88571.8
0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,78691.0
0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,69978.0
0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,76208.6
1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,88664.2
0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,83128.0
0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,79196.2
1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,64967.6
0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,77045.0
0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,72746.2
1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,68259.2
1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,85430.4
0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,97697.8
1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,64221.0
1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,67964.8
0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,99099.8
0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,86268.6
1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,84712.0
0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,68769.8
0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,73596.8
1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,70372.2
1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,90335.8
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,86799.0
0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,91607.6
0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,74666.0
1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,65649.0
0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,70498.2
1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,66322.8
0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,83928.4
0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,65179.8
1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,63256.4
1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,84949.4
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,64706.8
0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,93570.0
0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,81469.2
1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,89350.4
1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,68220.0
1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,85708.0
0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,79239.2
0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,80651.6
1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,81110.0
1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,90434.4
1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,83006.0
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,96722.2
1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,96861.8
1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,82633.4
1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,83206.6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,57788.6
0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,85715.0
1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,75414.0
1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,95977.6
1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,73920.2
0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,92604.0
0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,77825.4
0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,80766.4
1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,80847.8
0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,89782.4
0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,77329.6
0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,85981.8
1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,72321.4
0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,86127.0
0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,72483.4
0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,77631.2
1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,90002.4
0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,92374.2
0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,76715.4
0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,75311.4
0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,87245.6
1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,92569.4
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,91506.0
1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,69529.8
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,65487.6
1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,93100.2
0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,87093.0
1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,85587.6
