ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,79305.6
1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,69186.2
0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,80858.8
1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,62492.4
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,76474.8
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,64335.4
1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,92305.6
0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,76736.2
0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,82318.8
1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,68241.4
0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,79475.8
0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,73682.4
1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,89814.4
1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,78630.0
0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,58292.4
0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,96569.4
0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,87525.6
0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,87893.6
0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,69223.4
1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,86787.0
1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,83256.0
0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,76414.2
1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,78032.2
1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,67190.0
1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,92584.6
0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,74006.8
1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,82418.8
0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,73926.2
1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,82126.8
0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,70004.2
1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,77249.0
0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,95166.6
1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,75080.2
1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,79287.6
