fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,1,0,64,32,256,133072.4
1,1,1,0,0,64,8,4096,130763.8
0,1,1,1,0,64,8,256,46687.4
0,0,1,1,0,64,8,4096,46665.2
1,0,1,0,0,128,8,4096,133337.6
1,1,0,1,1,256,32,1024,127450.4
1,0,1,1,1,64,2,1024,135739.2
1,1,1,1,0,128,2,256,128216.6
0,0,0,1,0,128,2,4096,47528.8
0,1,0,0,1,64,2,256,46143.2
1,1,1,1,0,64,2,4096,130507.0
0,1,0,1,1,128,8,4096,46535.6
1,1,1,0,0,128,32,1024,132014.6
1,0,0,0,1,128,8,1024,130543.6
1,0,1,0,0,128,2,4096,138294.4
0,0,0,1,0,256,2,4096,46365.8
0,0,1,0,1,64,2,256,46268.8
0,0,1,0,1,256,2,256,46342.0
1,1,0,1,0,256,2,1024,133595.4
0,1,0,1,0,128,2,1024,46599.4
0,0,1,1,1,256,2,1024,47568.6
1,1,1,0,1,128,32,1024,135219.0
1,1,1,0,1,64,32,256,133542.0
0,1,1,1,1,128,32,256,46742.0
1,0,1,1,0,256,8,1024,140390.4
1,0,1,0,1,64,8,256,138369.4
1,1,0,0,1,64,2,256,134110.6
0,1,1,0,1,128,8,256,46212.4
0,1,0,0,0,128,2,256,46022.8
1,1,0,0,0,128,32,1024,133666.2
0,1,0,0,0,256,2,256,46440.0
1,1,0,0,0,64,8,256,134334.0
0,1,0,1,1,128,32,4096,46394.0
1,1,1,1,1,128,8,4096,130405.6
1,1,0,1,1,64,32,1024,123397.2
0,0,1,0,0,64,32,4096,46191.2
1,1,0,0,1,64,8,1024,134931.8
0,0,1,1,1,128,2,256,46688.4
0,0,0,1,0,64,32,4096,46264.2
1,0,0,0,1,256,8,1024,135761.2
0,0,1,0,1,128,8,4096,46545.6
0,0,0,1,0,128,8,256,46366.6
1,0,1,1,0,256,8,1024,140390.4
1,1,0,0,1,128,2,4096,133053.0
1,0,0,1,1,64,8,256,136979.0
0,0,0,0,1,64,2,256,46337.0
1,0,0,0,1,128,32,256,133749.4
1,0,0,0,0,64,8,1024,132700.0
1,0,0,0,1,256,8,256,136333.8
1,1,1,0,0,128,2,4096,133944.0
0,0,1,1,1,128,8,256,46778.0
0,0,0,1,0,64,32,4096,46264.2
0,0,0,1,0,128,2,1024,46355.2
1,0,0,0,1,64,8,4096,129471.0
0,1,1,0,1,128,32,4096,46577.6
1,0,1,1,1,128,8,4096,136724.4
1,0,0,0,1,256,32,4096,129652.6
0,0,0,1,0,128,8,4096,46352.2
1,1,0,1,0,64,8,4096,135789.2
0,0,1,1,1,128,8,4096,46649.4
1,1,1,0,1,64,32,256,133542.0
1,1,0,0,1,256,2,1024,131355.4
1,1,0,0,0,256,8,4096,133344.2
0,1,1,0,1,128,8,1024,46188.8
0,1,0,1,0,128,2,1024,46599.4
1,1,0,0,1,64,2,1024,136113.4
0,0,1,1,0,128,8,1024,47024.0
0,0,1,0,0,256,2,256,46199.6
1,0,1,1,1,256,8,256,136729.2
0,1,0,0,0,128,8,1024,45980.8
0,1,1,1,0,64,2,4096,46404.4
0,1,1,1,0,128,2,1024,46400.2
0,0,0,1,1,128,2,4096,46338.8
1,0,1,0,1,128,32,1024,140847.2
1,1,1,1,1,128,2,4096,131763.6
0,0,0,1,1,128,32,1024,46258.4
1,1,0,0,0,64,32,4096,132759.0
1,0,1,0,0,64,2,4096,134209.2
1,0,0,0,0,64,8,256,134959.4
1,1,1,0,1,128,2,4096,134358.4
0,0,1,1,0,64,8,4096,46665.2
0,1,0,1,1,256,32,1024,46390.0
0,0,0,0,1,128,8,1024,46255.2
0,1,0,0,0,128,8,4096,46379.2
1,0,1,1,1,64,2,256,135234.0
0,1,0,1,1,256,2,256,46319.0
0,1,0,0,1,64,2,4096,46135.0
1,1,1,0,0,64,2,256,132226.4
1,1,0,1,1,64,8,4096,128898.0
1,1,0,1,0,64,32,4096,131301.0
1,0,0,0,0,128,32,4096,132886.0
1,1,0,0,0,64,2,1024,132621.4
1,0,1,1,0,64,8,256,141618.4
1,1,0,0,1,256,8,4096,135842.6
1,1,1,0,0,64,8,256,130526.8
1,1,1,1,0,64,8,1024,126794.8
1,1,0,1,0,128,2,4096,132373.8
1,0,0,1,0,256,8,4096,131930.8
1,1,1,0,0,128,8,1024,133603.0
1,1,0,0,1,64,32,256,132894.8
