fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,1,0,256,32,256,134325.4
1,0,1,1,0,128,2,1024,140842.0
0,1,0,1,1,64,8,4096,46329.0
0,0,1,1,0,256,2,4096,46625.0
0,1,1,1,1,64,2,4096,46733.4
1,0,0,1,1,256,8,4096,134113.2
0,0,0,0,0,64,2,1024,47571.0
0,1,0,1,1,64,8,4096,46329.0
0,1,1,0,1,128,2,4096,46615.0
0,1,0,0,0,128,8,256,46318.0
0,1,1,0,0,256,2,256,46407.8
1,1,0,1,0,64,2,256,134157.4
1,0,0,0,1,128,32,256,133749.4
0,1,0,0,0,64,8,4096,46264.8
0,0,1,0,0,128,8,256,46140.0
1,1,0,0,1,256,8,4096,135842.6
0,1,0,0,1,256,8,1024,46358.2
1,0,1,1,0,64,2,1024,140228.0
0,0,1,0,0,128,32,256,46078.8
1,0,1,1,0,64,32,4096,138943.4
0,1,0,0,0,128,32,1024,46341.0
0,1,1,0,0,128,32,1024,46311.2
1,0,0,1,1,256,2,4096,134019.0
1,0,0,0,0,64,32,256,129289.6
0,0,1,1,1,256,2,1024,47568.6
1,1,1,0,1,128,8,4096,130528.6
1,1,0,1,0,128,2,256,135754.4
1,1,1,0,1,64,32,1024,130145.2
1,0,1,1,0,128,32,4096,138185.4
1,0,1,1,0,64,2,1024,140228.0
1,0,0,1,1,64,8,4096,134738.4
0,1,0,0,0,256,32,256,46178.0
1,1,1,1,0,64,2,1024,125822.2
0,0,0,0,0,64,32,1024,46298.4
0,0,1,0,1,64,2,256,46268.8
1,0,1,1,0,64,8,256,141618.4
1,1,1,0,0,64,32,4096,131524.0
1,0,0,1,1,64,32,4096,134370.8
0,1,1,0,0,256,32,1024,46047.4
0,1,1,0,0,256,32,1024,46047.4
1,0,1,0,0,64,8,1024,133410.0
1,0,1,1,1,256,32,4096,139169.0
0,0,1,1,1,64,2,1024,46681.8
0,0,1,0,0,64,2,1024,46199.0
0,0,0,0,1,256,8,256,46100.4
1,1,1,0,1,256,8,1024,128079.8
1,1,1,1,1,64,8,4096,130401.6
1,0,1,0,0,128,2,1024,137218.2
1,0,0,1,1,64,32,256,134738.8
0,0,0,1,0,128,2,256,46486.8
1,1,1,0,1,256,8,1024,128079.8
1,0,0,0,1,64,8,256,133634.4
1,0,0,0,1,128,32,4096,132338.6
0,1,0,1,0,64,2,256,46355.4
1,0,0,1,1,128,8,256,132351.4
1,0,0,1,1,64,8,256,136979.0
1,1,0,1,0,64,2,1024,139402.4
0,1,1,1,1,128,2,1024,46877.2
1,0,1,0,1,64,32,4096,135629.4
0,1,1,1,0,128,2,256,46517.8
1,0,1,1,1,128,32,4096,136977.2
1,1,1,1,0,64,8,1024,126794.8
0,0,1,1,1,256,8,1024,46796.2
0,1,1,0,0,64,32,1024,46145.0
1,0,1,1,0,128,2,1024,140842.0
0,0,1,1,0,64,2,256,46508.8
0,1,0,0,0,256,2,4096,46096.4
1,0,0,1,0,128,2,1024,131781.2
1,0,1,0,0,128,2,4096,138294.4
0,0,1,1,1,256,32,256,46605.0
0,0,1,1,0,64,8,4096,46665.2
0,0,0,1,0,64,8,4096,46361.2
1,1,1,1,1,128,8,4096,130405.6
0,1,1,0,1,64,32,1024,46469.6
0,0,1,0,1,128,2,256,46121.0
1,0,1,1,0,256,8,256,139655.8
1,0,1,1,0,128,2,1024,140842.0
1,1,0,1,0,128,32,1024,134356.6
1,0,0,1,1,64,32,4096,134370.8
1,1,0,0,0,256,8,4096,133344.2
1,0,0,1,0,128,2,4096,134138.8
0,0,0,1,0,128,8,4096,46352.2
1,1,0,1,0,128,8,1024,135017.0
1,1,0,0,0,128,2,4096,133164.4
0,1,0,1,1,128,32,4096,46394.0
0,1,0,1,1,128,2,1024,46445.4
0,1,1,0,0,128,32,4096,46145.8
0,0,1,0,0,256,32,1024,46212.8
1,0,0,0,1,64,8,4096,129471.0
0,0,0,1,0,256,32,1024,46419.0
1,0,1,0,0,64,32,1024,134519.0
0,1,1,0,1,256,2,4096,46381.4
1,0,1,0,1,128,2,256,136870.8
0,1,0,1,0,128,8,256,46439.6
0,0,1,1,0,256,2,4096,46625.0
0,1,1,1,0,256,8,4096,47064.8
0,0,0,0,0,128,8,1024,46208.0
0,1,0,1,0,64,32,1024,47346.8
1,1,0,0,0,256,32,4096,132785.6
0,1,1,1,0,128,32,4096,46612.8
