WindowSize,CompressionLevel,Performance
12,1,1.542
24,10,392.744
24,10,392.744
23,1,1.572
17,2,2.102
20,5,7.45
12,11,328.552
15,11,292.192
24,4,2.708
14,2,1.9
17,0,1.606
16,0,1.59
19,11,258.502
18,2,2.094
13,7,5.554
13,4,2.972
10,9,6.246
24,5,7.154
11,4,3.04
21,5,7.272
22,2,2.05
21,6,10.46
14,9,7.404
13,9,6.862
19,8,11.508
18,9,11.954
16,11,284.296
13,9,6.862
11,6,3.57
16,2,2.026
15,10,291.618
20,6,10.658
20,2,2.088
14,11,301.078
14,11,301.078
16,11,284.296
22,3,2.5
23,2,2.032
12,10,328.816
16,8,7.548
21,4,2.768
18,0,1.628
12,1,1.542
13,5,4.128
18,8,9.684
14,7,5.896
14,9,7.404
18,0,1.628
16,2,2.026
13,11,315.078
23,6,10.22
11,9,6.286
10,8,5.046
12,10,328.816
22,5,7.198
14,1,1.46
18,7,8.628
22,2,2.05
18,6,7.51
15,1,1.52
20,3,2.546
11,10,343.594
23,0,1.556
11,9,6.286
22,6,10.266
20,4,2.808
20,11,246.08
14,5,4.678
15,3,2.392
16,0,1.59
19,8,11.508
15,7,6.39
13,5,4.128
14,9,7.404
22,2,2.05
10,8,5.046
10,8,5.046
22,5,7.198
16,2,2.026
20,0,1.63
23,2,2.032
15,0,1.534
17,1,1.612
13,8,5.62
13,6,4.3
21,5,7.272
21,9,23.614
13,6,4.3
18,8,9.684
24,9,108.602
16,6,5.77
10,5,3.306
22,0,1.596
23,7,20.474
19,6,9.336
23,11,315.238
12,11,328.552
15,9,8.084
23,5,7.178
20,10,246.512
