WindowSize,CompressionLevel,performance
14.0,0.0,1.472
21.0,0.0,1.604
19.0,0.0,1.614
18.0,1.0,1.63
16.0,3.0,2.508
19.0,3.0,2.552
10.0,3.0,2.616
17.0,4.0,2.848
11.0,8.0,5.042
11.0,7.0,5.078
14.0,7.0,5.896
23.0,5.0,7.178
19.0,5.0,7.372
17.0,7.0,7.636
18.0,7.0,8.628
18.0,8.0,9.684
21.0,8.0,18.874
20.0,11.0,246.08
17.0,10.0,307.144
13.0,11.0,315.078
17.0,0.0,1.606
14.0,5.0,4.678
16.0,0.0,1.59
14.0,0.0,1.472
16.0,0.0,1.59
23.0,0.0,1.556
14.0,0.0,1.472
17.0,0.0,1.606
14.0,0.0,1.472
14.0,5.0,4.678
14.0,0.0,1.472
11.0,0.0,1.526
14.0,0.0,1.472
22.0,7.0,19.626
14.0,5.0,4.678
12.0,3.0,2.426
12.0,2.0,1.988
12.0,5.0,3.746
12.0,1.0,1.542
10.0,0.0,1.662
12.0,1.0,1.542
20.0,5.0,7.45
12.0,2.0,1.988
12.0,1.0,1.542
12.0,1.0,1.542
10.0,1.0,1.666
24.0,1.0,1.57
20.0,1.0,1.636
12.0,2.0,1.988
13.0,2.0,1.942
17.0,6.0,6.34
13.0,2.0,1.942
13.0,2.0,1.942
19.0,0.0,1.614
19.0,0.0,1.614
10.0,6.0,3.386
19.0,0.0,1.614
19.0,0.0,1.614
19.0,0.0,1.614
19.0,0.0,1.614
19.0,9.0,14.048
19.0,0.0,1.614
19.0,0.0,1.614
19.0,0.0,1.614
16.0,4.0,2.77
16.0,4.0,2.77
16.0,3.0,2.508
16.0,3.0,2.508
16.0,3.0,2.508
12.0,3.0,2.426
12.0,0.0,1.528
12.0,8.0,5.318
19.0,4.0,2.8
12.0,7.0,5.266
15.0,0.0,1.534
12.0,0.0,1.528
12.0,0.0,1.528
12.0,0.0,1.528
17.0,0.0,1.606
12.0,0.0,1.528
12.0,10.0,328.816
24.0,4.0,2.708
22.0,3.0,2.5
22.0,3.0,2.5
22.0,3.0,2.5
18.0,3.0,2.562
22.0,8.0,25.432
22.0,2.0,2.05
22.0,2.0,2.05
18.0,2.0,2.094
22.0,2.0,2.05
22.0,2.0,2.05
14.0,2.0,1.9
14.0,2.0,1.9
14.0,2.0,1.9
14.0,4.0,2.894
23.0,2.0,2.032
14.0,2.0,1.9
16.0,2.0,2.026
18.0,2.0,2.094
