WindowSize,CompressionLevel,Performance
13,4,2.972
15,0,1.534
20,8,14.64
15,2,1.972
14,11,301.078
18,9,11.954
17,3,2.564
22,7,19.626
11,3,2.476
19,1,1.604
17,0,1.606
14,7,5.896
19,0,1.614
24,3,2.478
10,7,4.874
19,11,258.502
14,10,301.488
21,5,7.272
16,11,284.296
20,9,17.4
18,1,1.63
24,7,20.228
16,7,6.998
22,8,25.432
22,1,1.586
21,10,244.734
24,7,20.228
15,7,6.39
24,0,1.574
21,8,18.874
15,4,2.834
15,4,2.834
16,5,5.392
20,10,246.512
24,4,2.708
23,5,7.178
20,4,2.808
13,3,2.37
14,6,4.874
19,8,11.508
13,3,2.37
20,1,1.636
17,2,2.102
16,5,5.392
10,0,1.662
22,5,7.198
10,2,2.146
24,0,1.574
18,3,2.562
17,3,2.564
20,11,246.08
15,1,1.52
22,6,10.266
20,4,2.808
23,1,1.572
11,4,3.04
18,7,8.628
10,3,2.616
12,10,328.816
10,11,363.346
23,0,1.556
12,2,1.988
10,11,363.346
15,6,5.306
12,9,6.47
14,0,1.472
17,2,2.102
20,9,17.4
24,7,20.228
16,1,1.598
21,1,1.598
20,5,7.45
16,6,5.77
14,4,2.894
15,4,2.834
14,3,2.302
16,4,2.77
12,1,1.542
19,10,258.558
14,11,301.078
22,4,2.748
24,0,1.574
14,5,4.678
20,9,17.4
14,8,6.086
21,10,244.734
20,1,1.636
18,8,9.684
23,5,7.178
17,4,2.848
11,5,3.49
20,2,2.088
13,4,2.972
17,3,2.564
19,0,1.614
17,6,6.34
24,11,394.158
11,8,5.042
19,2,2.1
23,2,2.032
