topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,10,1,0,1,1000,512,10000,5,0,0.0148772440127
4,1,4,1000000,1,1,1,10,1024,100,2,29,0.00194051008861
2,10,2,10,10,0,1000,10,1024,100,5,29,0.277502475001
2,1,2,1000000,1,1,1,10,512,100,2,29,0.00133861152077
4,10,4,1000000,1,1,1000,10,1024,100,2,29,0.00575344219254
2,10,4,10,1,1,1000,10,1024,100,5,0,0.30313491107
4,1,4,10,10,0,1,1000,1024,10000,5,0,0.0794478874314
4,1,2,10,10,1,1000,1000,512,10000,5,0,0.20873896803
4,10,4,10,10,1,1000,10,1024,100,5,29,0.181373009615
4,10,2,1000000,1,0,1,1000,1024,10000,2,0,0.00294821357322
4,1,2,10,1,0,1,1000,1024,10000,5,29,0.0144591832427
4,10,2,10,1,1,1000,1000,1024,10000,2,29,0.617667765608
2,10,4,10,10,1,1,10,1024,100,5,29,0.133050904005
4,1,4,1000000,1,1,1,10,512,100,2,29,0.00190782781343
2,1,2,10,10,1,1,10,512,100,2,29,0.149932660896
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,1.36176146569e-05
4,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.000867442053645
2,10,2,10,1,0,1,1000,512,10000,2,29,0.0152544519387
2,10,4,10,10,1,1,10,1024,100,5,29,0.133050904005
2,10,4,10,1,0,1,10,512,100,5,29,0.0150855935169
4,10,4,1000000,1,0,1,10,512,100,5,0,0.000894677282959
4,10,4,10,10,1,1,10,512,100,2,29,0.144190112795
4,1,2,10,10,0,1000,10,512,100,5,0,0.0766753410872
4,10,2,10,1,1,1,10,1024,100,2,29,0.0146893209304
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,2.31499449167e-05
4,1,2,1000000,1,0,1,10,1024,100,5,29,0.000690413063105
2,10,4,10,10,1,1000,1000,1024,10000,2,0,0.762781152677
2,1,4,10,1,0,1000,10,1024,100,2,0,0.945086968896
4,1,2,10,10,0,1000,1000,512,10000,2,0,0.544580665983
2,1,2,10,1,0,1000,1000,512,10000,2,0,0.857260163166
4,10,2,1000000,1,0,1000,10,1024,100,2,0,8.03439264758e-05
2,10,4,10,1,0,1,1000,512,10000,5,29,0.0147478766734
4,1,2,10,10,1,1,1000,512,10000,2,0,0.145245477931
2,1,2,10,1,0,1000,1000,1024,10000,5,29,0.312337695055
2,10,2,10,1,1,1000,10,512,100,5,29,0.275428512289
2,1,4,10,10,0,1000,10,1024,100,2,0,0.786817604308
4,1,4,10,10,0,1,1000,512,10000,2,29,0.145472892095
2,1,2,10,1,0,1000,1000,512,10000,5,0,0.309475272454
4,10,4,10,1,1,1,1000,512,10000,2,29,0.0147369825817
2,10,4,10,1,1,1,10,512,100,5,0,0.0147819207101
4,10,4,10,1,0,1000,10,512,100,2,29,0.735413832501
2,1,4,10,1,0,1000,1000,512,10000,5,29,0.370629256356
4,10,2,10,10,1,1000,1000,1024,10000,2,0,0.511203892459
4,10,4,10,1,1,1,10,1024,100,2,0,0.0147696648569
4,1,4,10,10,1,1,1000,512,10000,2,29,0.143545999621
4,10,2,10,10,0,1000,1000,512,10000,2,0,0.518967294575
4,1,4,10,1,1,1,10,512,100,5,29,0.0146008064351
2,10,2,10,1,0,1000,1000,1024,10000,2,0,0.794361762827
2,1,4,10,10,1,1000,1000,512,10000,2,29,0.757221080612
4,10,2,10,1,1,1000,1000,1024,10000,2,29,0.617667765608
4,10,4,1000000,1,0,1000,10,1024,100,5,29,0.000114387963118
2,1,4,10,1,0,1000,1000,1024,10000,5,0,0.375210221926
2,1,4,10,10,1,1,1000,512,10000,5,0,0.139689491151
2,1,4,10,1,0,1,1000,1024,10000,5,0,0.0150542730032
4,10,2,10,10,1,1,10,1024,100,5,29,0.0821210251885
2,1,4,10,1,1,1,1000,1024,10000,2,29,0.0147356208202
2,10,4,10,1,0,1000,1000,1024,10000,5,0,0.302787661896
4,10,2,1000000,10,1,1,1000,512,10000,5,0,0.000314566898575
2,1,4,10,10,0,1,10,512,100,2,0,0.149765164235
4,1,2,1000000,10,0,1000,10,1024,100,2,0,0.000642751411806
4,10,2,10,1,0,1,1000,512,10000,5,29,0.0144346715363
4,1,4,1000000,1,1,1000,1000,512,10000,5,29,0.000130729100706
4,1,4,1000000,1,1,1000,10,512,100,5,29,0.000121196770447
4,1,4,10,10,1,1000,1000,512,10000,5,0,0.183367990163
4,1,2,10,1,1,1000,10,512,100,2,0,0.47406865729
2,1,2,10,10,1,1000,10,1024,100,5,29,0.340601054276
4,10,2,10,10,0,1,10,512,100,5,0,0.0808545870254
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,0.000249202348221
4,1,4,1000000,10,0,1,10,512,100,5,29,0.000118473247515
4,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.0001388996695
2,1,2,10,1,0,1000,1000,512,10000,2,29,0.863104843377
4,1,2,10,10,0,1000,10,512,100,5,0,0.0766753410872
4,10,4,10,1,0,1000,1000,512,10000,2,0,0.709227159515
4,10,4,10,1,1,1,10,512,100,5,29,0.0144578214812
4,10,4,10,10,1,1,10,1024,100,2,0,0.143780222594
2,10,2,10,10,0,1000,10,512,100,5,29,0.280570523584
4,10,4,1000000,10,1,1000,10,512,100,2,29,0.000201540696922
4,10,2,10,1,0,1,1000,512,10000,5,29,0.0144346715363
2,10,4,1000000,1,0,1,10,1024,100,5,29,0.00102540638367
2,1,2,10,10,0,1,10,512,100,5,0,0.085953021953
2,10,4,10,1,0,1000,1000,512,10000,2,0,0.895412634151
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.718788086766
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,1.49793761226e-05
4,10,4,10,1,0,1,1000,1024,10000,2,0,0.0144360332978
2,10,4,1000000,1,0,1,1000,512,10000,2,0,0.00248793819782
2,1,2,10,10,0,1000,10,512,100,2,29,0.731911382011
4,10,4,10,1,0,1000,1000,512,10000,5,0,0.216100650513
4,10,4,1000000,10,0,1000,1000,512,10000,2,0,5.44704586276e-06
4,10,2,1000000,10,0,1,10,512,100,2,0,0.00247568234463
4,1,2,10,10,1,1000,10,1024,100,5,29,0.209885571184
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,0.000812971595018
2,1,2,10,1,0,1000,10,512,100,5,29,0.285698917263
4,1,4,1000000,10,1,1,1000,1024,10000,5,29,8.17056879415e-06
2,10,4,10,1,0,1,1000,512,10000,2,29,0.0150283995354
2,10,2,10,10,1,1000,10,512,100,2,0,0.746230303823
4,10,2,1000000,1,0,1,10,512,100,5,29,0.000905571374685
2,1,4,10,1,1,1000,10,1024,100,2,0,0.987492220938
2,1,4,10,1,0,1000,10,1024,100,5,0,0.382819744997
4,1,2,10,10,0,1,1000,1024,10000,5,29,0.0876361591246
2,10,2,1000000,1,0,1,10,512,100,5,0,0.0010281299066
