Tool,Baseline
0.0,1.08940917255e-05
1.7702899054e-05,0.0
8.17056879415e-06,0.0
0.0,0.0
0.0,1.7702899054e-05
0.0,0.0
0.0,8.17056879415e-06
0.0,2.72352293138e-05
0.0,1.90646605197e-05
0.0,2.72352293138e-06
0.0,0.0
6.80880732846e-06,0.0
0.0,0.0
0.0,0.0
1.49793761226e-05,5.44704586276e-06
0.0,0.0
0.0,0.0
2.72352293138e-06,1.08940917255e-05
8.17056879415e-06,6.80880732846e-06
4.08528439707e-06,0.0
0.0,0.0
1.36176146569e-06,4.08528439707e-06
2.72352293138e-06,1.49793761226e-05
0.0,0.0
0.0,0.0
2.72352293138e-06,1.90646605197e-05
2.72352293138e-06,1.49793761226e-05
1.49793761226e-05,2.72352293138e-06
0.0,0.000110302678721
2.72352293138e-06,5.44704586276e-06
