topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
2.0,1.0,2.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,4.49381283678e-05
4.0,10.0,2.0,1000000.0,10.0,1.0,1.0,10.0,512.0,100.0,5.0,29.0,0.000385378494791
4.0,10.0,4.0,1000000.0,1.0,0.0,1.0,10.0,512.0,100.0,5.0,29.0,0.000949147741587
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.00101723581487
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,2.0,0.0,0.00235176205125
4.0,10.0,2.0,1000000.0,1.0,0.0,1000.0,1000.0,1024.0,10000.0,2.0,29.0,0.00589642714644
4.0,10.0,4.0,10.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0146661709855
4.0,1.0,2.0,10.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,2.0,29.0,0.0147764736642
4.0,10.0,4.0,10.0,1.0,0.0,1.0,10.0,512.0,100.0,2.0,29.0,0.0148486470219
4.0,1.0,2.0,10.0,1.0,1.0,1.0,10.0,512.0,100.0,2.0,29.0,0.0148595411136
2.0,1.0,2.0,10.0,1.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0150433789115
2.0,1.0,2.0,10.0,10.0,0.0,1.0,10.0,1024.0,100.0,2.0,0.0,0.149368891649
2.0,10.0,4.0,10.0,10.0,0.0,1.0,1000.0,512.0,10000.0,2.0,0.0,0.150037516528
4.0,10.0,4.0,10.0,10.0,1.0,1000.0,10.0,512.0,100.0,5.0,0.0,0.182422927705
4.0,1.0,4.0,10.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,5.0,0.0,0.239958711392
2.0,1.0,4.0,10.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,0.0,0.380353594982
2.0,1.0,2.0,10.0,10.0,0.0,1000.0,1000.0,512.0,10000.0,2.0,0.0,0.420505131798
2.0,10.0,4.0,10.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,0.0,0.875202732238
2.0,10.0,4.0,10.0,1.0,0.0,1000.0,1000.0,1024.0,10000.0,2.0,29.0,0.944629417044
2.0,1.0,4.0,10.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,2.0,0.0,0.988717806257
2.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,4.08528439707e-05
2.0,1.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.000761224659321
4.0,1.0,4.0,10.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0144523744354
2.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,4.08528439707e-05
2.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,4.08528439707e-05
4.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,1.49793761226e-05
4.0,1.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0139852902526
2.0,1.0,2.0,10.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,2.0,29.0,0.85383533308
4.0,1.0,2.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,3.26822751766e-05
2.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.000110302678721
4.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,1.49793761226e-05
4.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.0
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0
4.0,10.0,4.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.000876974383905
4.0,10.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.000921912512273
4.0,10.0,4.0,10.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,29.0,0.73716914303
4.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,0.0,0.000129367339241
4.0,10.0,4.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.000876974383905
