topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,1000000,10,1,1,10,512,100,5,29,0.000385378494791
4,10,4,10,10,1,1,10,1024,10000,5,29,2.0
4,10,4,1000000,1,1,1000,1000,512,100,5,0,2.0
2,1,2,10,1,0,1000,10,512,10000,2,0,2.0
4,10,2,1000000,10,1,1,10,1024,100,2,0,0.002421211886
2,10,4,10,10,0,1000,1000,512,10000,5,0,0.333326524526
2,10,4,10,1,1,1000,1000,512,100,2,0,2.0
4,1,4,1000000,10,1,1,1000,512,10000,5,29,2.0
4,1,2,1000000,10,1,1000,10,1024,100,2,0,2.0
2,1,4,1000000,1,0,1,10,1024,100,2,29,0.00140397607113
4,10,4,10,1,1,1000,10,512,10000,5,29,2.0
2,10,4,10,1,1,1000,10,512,10000,2,29,2.0
4,10,4,10,1,0,1000,10,512,100,2,0,0.697882324745
4,10,2,1000000,1,1,1000,10,512,10000,5,29,2.0
4,10,2,10,10,1,1,10,1024,100,5,29,0.0821210251885
4,10,2,1000000,1,1,1,10,512,100,2,0,0.00291825482098
2,1,4,10,1,1,1,1000,1024,100,2,0,2.0
4,1,4,10,1,0,1000,1000,512,10000,5,29,0.241955053701
4,10,4,1000000,1,1,1000,1000,1024,100,2,0,2.0
2,10,4,1000000,1,0,1000,1000,1024,100,2,0,2.0
4,1,2,1000000,1,1,1,10,512,100,2,29,0.00321239529757
4,1,2,1000000,1,1,1,1000,512,100,2,0,2.0
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,2.0
4,10,4,10,1,1,1,10,1024,100,5,29,0.0144564597198
4,1,2,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,4,1000000,10,1,1,10,512,10000,5,29,2.0
2,1,2,10,1,1,1,10,1024,100,5,0,0.0150283995354
4,10,4,1000000,10,1,1000,10,512,10000,5,29,2.0
2,10,2,1000000,10,1,1,10,1024,100,2,29,2.0
4,1,4,10,1,1,1000,10,512,10000,2,0,2.0
4,10,4,10,10,0,1000,1000,512,100,2,0,2.0
2,1,4,1000000,10,1,1,10,512,100,2,0,2.0
4,10,2,10,1,0,1,1000,1024,10000,5,0,0.0141132958304
4,1,4,1000000,1,1,1000,10,1024,10000,2,29,2.0
4,1,2,10,10,0,1,10,512,100,2,29,0.144850567106
2,10,2,1000000,1,1,1,10,512,100,2,29,0.00247432058316
2,1,4,1000000,10,0,1,1000,512,100,5,29,2.0
4,1,2,1000000,1,1,1000,1000,512,100,5,0,2.0
2,1,4,10,1,0,1,10,1024,10000,2,29,2.0
2,1,2,10,1,0,1,10,512,10000,2,0,2.0
4,1,2,1000000,10,0,1000,10,512,100,5,0,2.0
4,1,4,1000000,10,0,1,10,1024,100,5,29,2.0
4,1,2,10,10,0,1,1000,1024,100,2,0,2.0
4,1,2,10,10,1,1000,10,1024,10000,5,0,2.0
4,1,4,10,10,0,1,1000,512,100,5,29,2.0
4,1,2,1000000,10,0,1,10,512,10000,2,29,2.0
2,10,4,1000000,1,1,1000,10,512,10000,5,0,2.0
2,1,4,1000000,1,0,1,10,512,100,2,0,0.00138491141061
2,1,4,1000000,1,1,1000,1000,512,100,2,0,2.0
4,1,4,1000000,10,0,1000,10,1024,100,2,0,2.0
4,10,4,1000000,1,1,1000,10,512,10000,5,29,2.0
2,10,4,1000000,1,1,1000,1000,1024,10000,2,0,0.00017702899054
4,10,4,1000000,1,0,1000,1000,1024,100,5,0,2.0
2,10,4,10,1,0,1000,1000,1024,10000,5,0,0.302787661896
4,10,4,10,10,1,1000,1000,1024,100,5,0,2.0
4,1,4,1000000,1,1,1000,1000,512,100,5,0,2.0
2,1,4,10,10,0,1,1000,1024,10000,2,0,0.149219097887
2,10,4,10,10,1,1,10,1024,100,5,0,0.132562031639
4,1,2,1000000,10,0,1000,10,512,10000,5,0,2.0
4,10,2,1000000,1,0,1000,1000,1024,100,2,29,2.0
2,10,2,1000000,1,0,1000,1000,1024,100,5,0,2.0
4,10,4,10,10,0,1,1000,1024,10000,5,29,0.079897268715
4,10,2,10,1,0,1000,10,512,10000,2,29,2.0
2,10,4,10,10,0,1,1000,512,100,2,0,2.0
2,10,2,1000000,10,0,1,10,1024,100,2,29,2.0
4,1,2,1000000,1,1,1,10,1024,10000,2,29,2.0
2,10,2,10,1,1,1,1000,512,100,2,29,2.0
4,1,2,1000000,10,1,1000,1000,512,100,5,0,2.0
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,2.0
4,1,2,10,1,0,1,1000,512,100,5,29,2.0
4,10,2,1000000,1,1,1,1000,1024,100,2,29,2.0
2,1,2,10,10,0,1000,10,1024,10000,2,29,2.0
4,1,2,1000000,1,0,1,10,512,100,2,29,0.00329682450844
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.00276301401389
4,10,2,10,10,0,1,1000,1024,10000,2,29,0.141687195221
4,1,2,10,1,0,1000,10,512,10000,5,0,2.0
2,1,2,1000000,10,1,1000,10,512,100,2,0,2.0
2,1,2,1000000,10,1,1000,1000,1024,100,2,0,2.0
2,1,2,10,10,1,1000,10,1024,100,5,0,0.321165994637
4,1,4,10,1,1,1,10,512,10000,5,29,2.0
2,10,4,1000000,1,1,1,10,1024,100,5,29,0.00101451229194
2,10,4,10,1,0,1,1000,512,100,2,0,2.0
2,1,4,10,10,1,1000,10,1024,10000,5,29,2.0
2,1,4,1000000,1,1,1000,10,512,10000,2,29,2.0
2,10,2,1000000,10,1,1000,1000,1024,10000,2,29,2.0
4,10,2,10,1,1,1,10,512,100,5,0,0.0143434335181
2,1,2,10,1,1,1000,10,1024,100,5,29,0.294905786533
2,10,2,1000000,1,0,1000,1000,1024,10000,5,29,5.17469356963e-05
2,1,4,1000000,1,0,1000,1000,1024,10000,5,0,0.000166134898814
2,1,4,1000000,10,0,1000,10,1024,10000,2,0,2.0
2,1,2,10,10,0,1000,10,1024,10000,2,0,2.0
2,1,2,10,10,0,1,1000,512,100,5,0,2.0
4,1,2,1000000,10,1,1000,1000,1024,10000,5,0,2.0
2,10,4,10,1,1,1000,10,1024,100,5,29,0.297267080915
