new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,1,1,0,1,0,1,1,1,1,49.826
2,3,3,1,1,1,1,0,0,0,92.482
1,2,3,0,0,0,0,1,0,1,135.354
1,3,2,0,0,0,1,0,0,0,180.764
3,2,2,1,0,0,1,1,0,1,50.702
3,2,2,1,0,1,0,0,0,1,43.294
1,3,3,0,1,0,0,1,0,0,180.45
1,1,1,1,1,1,0,0,1,0,78.566
1,2,3,0,1,0,1,0,1,1,117.2
3,1,1,0,1,0,0,0,0,0,31.298
1,2,1,0,1,1,0,0,1,0,108.404
3,3,1,0,1,0,1,1,0,0,74.638
2,3,2,0,1,1,0,0,1,1,74.87
2,2,2,0,0,1,1,0,1,0,62.642
1,2,3,0,0,0,1,0,0,1,131.808
1,2,2,0,0,0,0,0,1,0,109.946
3,2,1,1,1,1,1,1,0,0,50.19
3,1,3,1,0,0,0,0,1,0,30.772
2,2,1,1,1,1,1,1,1,0,62.468
3,2,1,1,0,1,1,0,1,0,41.704
4,1,1,1,1,0,0,1,1,0,22.996
4,2,1,0,1,1,0,1,0,0,36.208
4,1,3,1,1,1,0,1,0,1,23.056
4,3,3,1,0,0,0,0,1,1,38.458
3,3,1,0,1,0,1,0,1,0,58.308
3,2,3,0,1,0,1,1,1,0,45.868
3,3,2,0,1,0,1,0,0,1,69.52
2,2,2,0,1,1,1,1,1,0,66.98
2,1,3,0,1,0,0,1,0,1,49.236
3,1,3,1,0,0,0,0,0,0,30.808
1,1,2,1,0,0,0,1,1,1,88.924
3,2,2,1,0,0,0,0,0,1,43.66
3,1,3,1,0,1,1,1,0,1,32.162
1,2,3,1,1,0,1,0,1,0,111.148
2,3,3,1,1,0,0,0,1,1,72.55
3,1,3,0,0,1,1,0,1,1,32.66
3,3,1,0,0,0,1,0,0,1,70.576
2,1,2,1,0,0,0,0,0,1,43.632
1,1,2,1,0,0,1,1,0,0,88.81
3,3,2,0,1,1,0,0,1,0,51.746
2,3,3,1,1,0,1,0,0,1,92.068
3,3,1,1,1,1,1,0,0,1,66.204
3,3,3,0,1,1,0,1,0,0,66.78
2,3,1,0,0,1,1,0,1,0,83.36
1,2,3,0,0,1,1,0,1,0,118.026
3,1,1,1,0,0,0,0,0,1,29.428
1,3,2,1,0,1,0,0,1,1,137.48
2,1,3,0,1,0,0,0,1,0,45.766
4,1,3,1,0,1,0,1,1,0,23.662
3,3,1,0,0,1,1,0,0,0,70.848
1,2,2,1,0,1,0,1,0,1,128.548
3,3,2,0,0,0,1,0,1,0,59.122
4,1,3,0,1,0,0,0,1,1,24.466
4,2,3,0,1,1,0,1,1,0,31.4
1,2,1,0,0,1,1,0,1,1,117.018
3,1,1,0,0,0,0,1,0,1,33.858
2,2,2,1,1,0,0,0,0,1,61.056
2,1,3,1,1,0,0,1,0,1,45.908
3,3,3,0,1,0,0,1,0,0,66.494
3,2,3,0,1,0,1,0,0,0,50.162
3,3,3,0,1,1,0,1,0,0,66.78
1,1,1,1,1,1,1,0,0,1,79.3
4,3,2,1,1,1,0,0,1,0,37.616
4,2,1,0,0,1,1,1,1,0,33.582
2,3,3,1,1,1,1,1,1,0,83.976
4,1,3,1,1,0,1,0,0,1,23.216
1,3,1,1,1,0,1,1,1,1,158.084
4,3,3,0,0,0,0,0,1,0,39.87
3,1,2,1,0,1,1,1,0,1,32.136
4,2,1,0,1,1,1,1,1,1,33.41
3,3,2,1,1,0,1,1,0,0,70.602
2,3,3,0,0,1,1,0,1,0,84.32
4,3,2,1,0,1,1,1,1,0,43.018
3,3,1,1,1,0,0,1,0,0,63.108
4,2,3,1,0,1,0,0,1,1,29.688
4,2,1,1,1,0,0,1,0,0,33.762
2,1,2,1,0,1,1,1,0,0,47.05
2,3,1,0,1,1,0,0,1,0,74.416
3,2,3,1,0,0,1,1,1,1,43.858
1,1,2,0,1,0,1,0,0,0,85.326
1,3,2,0,0,0,1,1,1,0,164.916
1,2,2,1,1,1,1,1,0,0,132.146
2,3,1,0,1,1,0,0,0,0,86.796
1,3,3,0,1,0,1,0,0,0,178.614
4,1,1,1,1,1,1,1,1,1,23.546
3,2,1,1,0,1,0,1,0,0,47.03
2,2,1,1,0,0,0,1,0,0,67.672
3,1,1,0,0,1,1,1,1,0,34.008
3,2,1,0,0,0,0,1,0,0,50.298
1,1,2,1,1,0,1,1,0,1,87.29
1,3,2,0,0,1,0,0,0,1,166.914
3,3,1,1,0,1,0,0,0,1,58.34
2,1,1,1,0,0,1,1,0,0,47.002
1,1,3,0,0,0,0,0,1,1,86.616
4,3,3,1,0,0,0,0,0,1,43.952
2,1,3,1,1,1,0,1,0,0,45.726
2,3,2,1,1,0,0,1,0,0,90.55
3,2,1,1,0,0,1,0,1,0,41.666
4,1,2,1,0,0,0,0,1,0,23.148
4,1,1,0,1,0,0,0,0,0,23.776
