new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.66
4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.096
4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,30.008
3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,30.734
3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.208
4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.748
4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,33.784
3.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,33.798
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,40.842
2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,44.192
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.634
4.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,46.918
4.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,47.038
2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,47.34
3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,48.156
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,81.78
1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,111.684
1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,113.046
1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,126.692
1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,157.904
1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,88.422
4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.66
1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,88.9
4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.66
4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,23.776
4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,24.49
4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,39.67
4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,23.096
4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.978
4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.594
4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,23.018
3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,30.398
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,23.338
4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.516
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,80.746
4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,22.452
4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,22.452
4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,23.982
4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22.19
4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,23.018
1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,110.168
4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,23.624
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,80.612
4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,22.928
4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,37.184
4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,41.408
3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,47.146
4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,22.138
3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,41.704
4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,21.97
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,41.85
4.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,40.708
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,40.79
4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22.19
4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.036
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,81.822
4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,25.19
2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,42.4
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.714
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.24
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,22.816
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.714
