new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,1,1,1,0,0,0,0,0,0,42.96
1,2,1,0,0,0,1,1,0,1,141.996
3,2,3,0,0,0,0,0,1,0,40.824
1,2,2,0,0,0,1,1,0,0,141.288
1,1,2,0,1,1,1,1,1,0,93.486
3,2,3,0,1,1,1,1,0,1,53.66
2,1,1,0,0,0,0,1,1,1,50.238
1,2,2,0,0,0,0,1,1,0,118.848
4,1,3,1,0,1,1,1,0,0,23.672
3,2,3,1,0,0,1,1,1,0,44.074
3,1,2,1,1,0,0,0,1,1,29.364
4,2,2,1,0,1,1,0,0,1,34.536
4,1,2,1,1,0,1,0,0,1,22.486
3,3,2,0,0,0,0,1,0,1,67.326
2,2,1,0,1,0,1,0,1,0,61.788
4,2,3,1,1,0,1,0,1,1,31.034
3,2,1,0,0,0,0,0,1,0,39.724
2,2,3,0,0,1,0,1,0,0,71.474
3,3,3,0,1,0,0,1,0,1,66.778
2,3,3,1,1,0,0,1,0,1,90.614
3,3,2,0,0,0,1,0,1,1,58.894
1,1,1,1,1,1,1,1,0,1,87.264
2,2,3,1,0,0,1,1,0,1,71.434
2,1,1,1,0,0,1,0,1,0,43.474
2,1,3,0,1,1,0,0,1,0,45.83
3,2,2,0,0,0,0,0,0,0,46.272
2,3,1,0,0,1,0,1,0,1,96.752
3,2,2,1,0,1,0,1,1,1,40.562
1,3,1,0,1,0,0,0,1,0,141.19
2,3,3,0,0,1,0,0,0,1,89.108
4,1,1,0,1,1,0,1,0,0,24.688
4,1,1,1,0,0,1,1,1,0,23.93
3,2,2,1,1,0,1,1,0,0,50.454
3,2,3,0,1,1,0,1,1,1,42.678
2,2,3,1,0,1,1,0,0,1,67.2
3,1,2,0,0,1,1,1,0,1,34.214
1,2,1,1,0,1,0,1,1,1,113.43
4,2,1,0,1,1,1,0,0,0,35.282
2,3,2,0,0,0,0,1,1,1,80.602
1,2,1,1,0,1,1,0,1,1,111.892
2,2,3,1,1,0,0,0,0,0,61.806
1,1,1,0,1,0,1,0,1,1,84.826
4,2,2,0,1,1,0,0,0,1,33.85
3,3,1,1,0,1,0,0,1,0,49.61
3,1,2,1,1,0,1,0,1,1,29.488
3,2,3,0,0,0,1,0,1,0,44.392
4,2,1,1,1,0,0,0,1,1,28.22
1,2,3,1,1,1,0,0,1,0,104.204
2,3,1,1,0,0,1,1,0,1,99.532
3,2,1,1,0,0,0,1,0,0,47.14
3,2,1,1,1,1,1,0,1,0,41.164
3,3,2,1,1,1,0,1,1,1,52.074
2,3,3,0,0,0,0,0,0,0,88.774
4,3,3,0,1,0,0,1,0,1,48.842
2,1,1,0,0,0,1,1,1,0,50.31
4,2,1,1,0,1,0,0,0,1,31.624
2,1,3,0,1,1,0,1,0,0,49.002
3,1,1,0,0,0,0,0,1,1,31.096
2,3,2,0,0,0,0,1,1,0,80.354
2,1,1,0,1,1,1,0,0,0,45.198
2,2,1,1,1,0,1,0,1,1,58.686
4,3,2,1,0,0,0,1,0,1,46.742
2,2,3,0,0,1,1,1,0,1,75.81
4,2,1,0,0,1,1,1,1,0,33.582
3,1,3,1,1,1,1,0,1,0,30.302
2,3,2,0,1,0,1,1,1,0,87.806
1,2,1,1,1,1,0,1,0,0,126.312
4,2,1,0,1,1,1,1,1,0,33.372
1,2,3,0,1,0,1,0,1,1,117.2
1,1,1,0,0,0,0,0,0,1,85.44
3,3,3,0,1,0,0,1,1,0,54.644
3,3,1,0,1,1,0,0,1,0,51.026
3,3,2,1,1,0,0,0,0,1,57.92
3,2,1,0,1,0,0,0,1,1,39.338
4,2,2,0,0,1,1,0,1,1,32.98
4,2,3,1,0,1,0,1,0,0,34.196
3,2,2,1,1,1,1,1,1,1,43.57
3,1,2,0,0,0,0,0,1,1,31.704
4,2,2,0,1,0,1,1,0,0,37.866
4,3,2,1,1,0,0,1,1,0,39.01
3,1,3,1,1,0,1,0,1,1,29.966
1,1,2,1,0,0,1,1,0,1,89.474
1,3,1,0,1,0,1,1,1,0,164.136
1,1,1,1,1,1,0,1,0,1,86.582
1,1,1,1,0,1,1,1,1,0,89.17
4,3,3,0,1,1,0,1,1,0,40.678
4,2,1,1,0,0,0,0,0,1,31.72
2,3,3,0,0,1,0,0,0,1,89.108
4,1,3,1,1,1,1,0,1,1,23.268
3,2,2,0,1,1,1,1,0,0,53.456
1,3,1,1,0,0,1,0,0,0,171.492
3,3,1,1,0,1,1,0,0,1,66.864
3,1,1,1,1,1,1,0,1,1,28.938
1,2,1,0,1,1,0,1,0,1,134.652
1,1,2,1,1,0,1,1,1,1,87.282
2,1,3,0,0,0,1,1,0,0,50.184
3,1,1,1,0,0,1,1,1,1,32.156
1,3,1,0,0,1,0,1,1,1,153.628
4,1,2,1,0,1,0,0,0,0,23.2
3,2,3,1,1,1,0,1,0,0,46.408
